x,y,z
59351.8,983,19370
58701.03,1029,27960
58715.65,1100,34300
72182.76,1259,14287
61044.98,1078,28550
60597.42,1047,25748
57566.05,984,25776
76190.1,1357,50582
65362.52,1009,30270
63536.16,1158,28810
65208.79,1295,10037
59563.35,1108,11548
"67,882,112,031,624",0,
66586.04,1165,24780
60626.38,1069,9547
58418.76,965,22012
60793.02,966,24500
69911.54,1237,44950
61970.64,1034,8730
68472.8,1111,35080
51307.51,981,8317
44521.89,856,14500
54764.86,1010,6096
40365.08,970,5874
45641.51,988,5547
45171.33,950,6112
63431.55,1118,19890
48652.56,890,7461
55237.91,1118,7778
59289.35,1042,24000
59190.63,1126,30726
59522.71,1204,10090
63453.08,1009,24792
50487.79,830,6009
46710.02,999,6270
41386.98,970,5975
44610.73,990,6090
62928.78,1295,39521
63433.53,995,28510
52895.14,951,7764
65616.22,1089,33142
64098.01,1061,38754
52696.79,992,27270
60312.67,1113,10107
62294.9,1119,10289
64591.02,1090,39858
62889.32,1039,8034
67900.72,1195,42288
71777.6,1383,49940
54749.32,1029,8145
61069.68,1066,29640
68135.42,1228,45617
59410.15,946,9369
69394.59,1054,33350
60334.44,998,31100
72830.78,1104,39560
60832.56,979,9326
78969.24,1346,47140
84046.3,1315,50152
51671.91,922,9936
52873.76,972,26832
81652.61,1448,50665
66384.94,968,35600
56698.35,759,17151
61319.18,966,33130
50901.08,934,10190
74767.83,994,35256
74533.27,1214,48791
61274.66,1138,33778
69357.81,945,9684
68457.57,1026,30640
52799.06,950,9536
70213.56,1125,41710
54310.26,1035,29258
55668.91,1058,25450
72929.99,924,31360
79754.75,1433,49098
61868.46,915,29168
54158.04,955,9936
51740.58,906,24300
67783.54,951,9411
67401.72,990,41100
85923.51,1294,47760
64787.49,1003,19980
88627.42,1338,46230
55815.84,948,9380
64312.9,1034,35900
51271.33,955,9806
58125.99,1025,32692
71914.01,1129,32240
65479.69,1001,10918
56588.57,1069,29840
76394.18,1006,38832
45385.58,934,21360
69149.16,905,26918
63381.69,1054,14610
63381.69,942,13354
63381.69,982,13598
63381.69,955,13902
63381.69,1019,13964
63381.69,993,14610
63381.69,999,13660
63381.69,978,14610
63381.69,1043,14610
63381.69,969,13964
63381.69,967,13546
63381.69,952,13902
63381.69,1202,17514
63381.69,943,13660
63381.69,955,13670
63381.69,975,13954
63381.69,920,13902
63381.69,1050,13964
"78,252,145,749,536",0,
73972.42,1083,36670
75947.63,1045,39908
69912.01,976,23920
72732.06,1145,37466
58452.18,978,13372
58452.18,1031,13382
58452.18,1022,13374
58452.18,1272,18192
54201.1,995,28250
59274.33,1051,27194
57790.62,884,32500
55181.27,1060,32178
54143.22,1059,32392
73943.5,1134,41044
63560.54,979,10052
54113.09,999,9645
78121.47,1431,47442
54604.75,923,28868
63922.06,945,20394
90091.77,1326,47616
52961.26,1019,22030
74655.83,1072,9462
56138.86,1028,34105
69397.52,1032,41224
56456.55,1053,32356
79027.35,1457,49346
61569.63,913,8197
72503.8,1077,12862
80568.35,1273,45840
56100.72,1078,24860
57179.15,1030,23440
66962.7,1141,11322
66736.53,1073,11364
64586.36,1275,14272
64434.93,1045,20430
56463.66,971,28100
57374.47,993,33315
49042.79,927,10100
